"_id","time_local","remote_addr","request_method","http_user_agent","request_uri","http_referer","status","request_time","body_bytes_sent","score","model_version","user_agent_os","user_agent_browser","user_agent_device","request_uri_length","class"
"666411d86056afecee60f799","08/Jun/2024:08:10:00 +0000","172.20.0.1","POST","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/delay/2","-",200.0,2.003,440.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411d86056afecee60f79a","08/Jun/2024:08:10:00 +0000","172.20.0.1","POST","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/post","-",200.0,0.004,440.0,-1.0,0.0,"Windows","Chrome","Other","",0
"666411d96056afecee60f79b","08/Jun/2024:08:10:01 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Config/92.2.2788.20","/delay/1","-",200.0,1.004,446.0,-1.0,0.0,"Windows","Chrome","Other","",0
"666411d96056afecee60f79c","08/Jun/2024:08:10:01 +0000","172.20.0.1","POST","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/121.0.2277.107 Version/17.0 Mobile/15E148 Safari/604.1","/status/200","-",200.0,0.003,0.0,-1.0,0.0,"iOS","Edge Mobile","iPhone","",0
"666411d96056afecee60f79d","08/Jun/2024:08:10:01 +0000","172.20.0.1","POST","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/status/500","-",500.0,0.003,0.0,-1.0,0.0,"Windows","Chrome","Other","",0
"666411d96056afecee60f79e","08/Jun/2024:08:10:01 +0000","172.20.0.1","POST","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/post","-",200.0,0.003,440.0,-1.0,0.0,"Windows","Chrome","Other","",0
"666411d96056afecee60f79f","08/Jun/2024:08:10:01 +0000","172.20.0.1","DELETE","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36","/status/200","-",200.0,0.003,0.0,-1.0,0.0,"Android","Chrome Mobile","K","",0
"666411d96056afecee60f7a0","08/Jun/2024:08:10:01 +0000","172.20.0.1","GET","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/delay/0","-",200.0,0.004,412.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411d96056afecee60f7a1","08/Jun/2024:08:10:01 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/put","-",200.0,0.002,439.0,-1.0,0.0,"Windows","Chrome","Other","",0
"666411d96056afecee60f7a2","08/Jun/2024:08:10:01 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/put","-",200.0,0.002,439.0,-1.0,0.0,"Windows","Chrome","Other","",0
